id,negation_affirmative1,negation_affirmative2,affirmative_negation1,affirmative_negation2,modal_affirmative1,modal_affirmative2,affirmative_modal1,affirmative_modal2,managed_failed1,managed_failed2,failed_managed1,failed_managed2,know_doubt1,know_doubt2,doubt_know1,doubt_know2,continuation_ref_1,continuation_ref_2,continuation_nonref_1,continuation_nonref_2
11_car_bike,Emma doesn't have a car but she has a bike.,Emma doesn't have a bike but she has a car.,Emma has a car but she doesn't have a bike.,Emma has a bike but she doesn't have a car.,Emma wants to have a car but she has a bike.,Emma wants to have a bike but she has a car.,Emma has a car but she wants to have a bike.,Emma has a bike but she wants to have a car.,Emma managed to rent a car but she failed to rent a bike.,Emma managed to rent a bike but she failed to rent a car.,Emma failed to rent a car but she managed to rent a bike.,Emma failed to rent a bike but she managed to rent a car.,I know that Emma has a car but I doubt that she has a bike.,I know that Emma has a bike but I doubt that she has a car.,I doubt that Emma has a car but I know that she has a bike.,I doubt that Emma has a bike but I know that she has a car.,Her car is red.,Her bike is red.,The car that she liked would have been too expensive.,The bike that she liked would have been too expensive.
12_car_motorcycle,Olivia doesn't have a car but she has a motorcycle.,Olivia doesn't have a motorcycle but she has a car.,Olivia has a car but she doesn't have a motorcycle.,Olivia has a motorcycle but she doesn't have a car.,Olivia wants to have a car but she has a motorcycle.,Olivia wants to have a motorcycle but she has a car.,Olivia has a car but she wants to have a motorcycle.,Olivia has a motorcycle but she wants to have a car.,Olivia managed to rent a car but she failed to rent a motorcycle.,Olivia managed to rent a motorcycle but she failed to rent a car.,Olivia failed to rent a car but she managed to rent a motorcycle.,Olivia failed to rent a motorcycle but she managed to rent a car.,I know that Olivia has a car but I doubt that she has a motorcycle.,I know that Olivia has a motorcycle but I doubt that she has a car.,I doubt that Olivia has a car but I know that she has a motorcycle.,I doubt that Olivia has a motorcycle but I know that she has a car.,Her car is red.,Her motorcycle is red.,The car that she liked would have been too expensive.,The motorcycle that she liked would have been too expensive.
13_car_scooter,Ava doesn't have a car but she has a scooter.,Ava doesn't have a scooter but she has a car.,Ava has a car but she doesn't have a scooter.,Ava has a scooter but she doesn't have a car.,Ava wants to have a car but she has a scooter.,Ava wants to have a scooter but she has a car.,Ava has a car but she wants to have a scooter.,Ava has a scooter but she wants to have a car.,Ava managed to rent a car but she failed to rent a scooter.,Ava managed to rent a scooter but she failed to rent a car.,Ava failed to rent a car but she managed to rent a scooter.,Ava failed to rent a scooter but she managed to rent a car.,I know that Ava has a car but I doubt that she has a scooter.,I know that Ava has a scooter but I doubt that she has a car.,I doubt that Ava has a car but I know that she has a scooter.,I doubt that Ava has a scooter but I know that she has a car.,Her car is red.,Her scooter is red.,The car that she liked would have been too expensive.,The scooter that she liked would have been too expensive.
14_car_skateboard,Sophia doesn't have a car but she has a skateboard.,Sophia doesn't have a skateboard but she has a car.,Sophia has a car but she doesn't have a skateboard.,Sophia has a skateboard but she doesn't have a car.,Sophia wants to have a car but she has a skateboard.,Sophia wants to have a skateboard but she has a car.,Sophia has a car but she wants to have a skateboard.,Sophia has a skateboard but she wants to have a car.,Sophia managed to rent a car but she failed to rent a skateboard.,Sophia managed to rent a skateboard but she failed to rent a car.,Sophia failed to rent a car but she managed to rent a skateboard.,Sophia failed to rent a skateboard but she managed to rent a car.,I know that Sophia has a car but I doubt that she has a skateboard.,I know that Sophia has a skateboard but I doubt that she has a car.,I doubt that Sophia has a car but I know that she has a skateboard.,I doubt that Sophia has a skateboard but I know that she has a car.,Her car is red.,Her skateboard is red.,The car that she liked would have been too expensive.,The skateboard that she liked would have been too expensive.
15_bike_motorcycle,Isabella doesn't have a bike but she has a motorcycle.,Isabella doesn't have a motorcycle but she has a bike.,Isabella has a bike but she doesn't have a motorcycle.,Isabella has a motorcycle but she doesn't have a bike.,Isabella wants to have a bike but she has a motorcycle.,Isabella wants to have a motorcycle but she has a bike.,Isabella has a bike but she wants to have a motorcycle.,Isabella has a motorcycle but she wants to have a bike.,Isabella managed to rent a bike but she failed to rent a motorcycle.,Isabella managed to rent a motorcycle but she failed to rent a bike.,Isabella failed to rent a bike but she managed to rent a motorcycle.,Isabella failed to rent a motorcycle but she managed to rent a bike.,I know that Isabella has a bike but I doubt that she has a motorcycle.,I know that Isabella has a motorcycle but I doubt that she has a bike.,I doubt that Isabella has a bike but I know that she has a motorcycle.,I doubt that Isabella has a motorcycle but I know that she has a bike.,Her bike is red.,Her motorcycle is red.,The bike that she liked would have been too expensive.,The motorcycle that she liked would have been too expensive.
16_bike_scooter,Mia doesn't have a bike but she has a scooter.,Mia doesn't have a scooter but she has a bike.,Mia has a bike but she doesn't have a scooter.,Mia has a scooter but she doesn't have a bike.,Mia wants to have a bike but she has a scooter.,Mia wants to have a scooter but she has a bike.,Mia has a bike but she wants to have a scooter.,Mia has a scooter but she wants to have a bike.,Mia managed to rent a bike but she failed to rent a scooter.,Mia managed to rent a scooter but she failed to rent a bike.,Mia failed to rent a bike but she managed to rent a scooter.,Mia failed to rent a scooter but she managed to rent a bike.,I know that Mia has a bike but I doubt that she has a scooter.,I know that Mia has a scooter but I doubt that she has a bike.,I doubt that Mia has a bike but I know that she has a scooter.,I doubt that Mia has a scooter but I know that she has a bike.,Her bike is red.,Her scooter is red.,The bike that she liked would have been too expensive.,The scooter that she liked would have been too expensive.
17_bike_skateboard,Amelia doesn't have a bike but she has a skateboard.,Amelia doesn't have a skateboard but she has a bike.,Amelia has a bike but she doesn't have a skateboard.,Amelia has a skateboard but she doesn't have a bike.,Amelia wants to have a bike but she has a skateboard.,Amelia wants to have a skateboard but she has a bike.,Amelia has a bike but she wants to have a skateboard.,Amelia has a skateboard but she wants to have a bike.,Amelia managed to rent a bike but she failed to rent a skateboard.,Amelia managed to rent a skateboard but she failed to rent a bike.,Amelia failed to rent a bike but she managed to rent a skateboard.,Amelia failed to rent a skateboard but she managed to rent a bike.,I know that Amelia has a bike but I doubt that she has a skateboard.,I know that Amelia has a skateboard but I doubt that she has a bike.,I doubt that Amelia has a bike but I know that she has a skateboard.,I doubt that Amelia has a skateboard but I know that she has a bike.,Her bike is red.,Her skateboard is red.,The bike that she liked would have been too expensive.,The skateboard that she liked would have been too expensive.
18_motorcycle_scooter,Harper doesn't have a motorcycle but she has a scooter.,Harper doesn't have a scooter but she has a motorcycle.,Harper has a motorcycle but she doesn't have a scooter.,Harper has a scooter but she doesn't have a motorcycle.,Harper wants to have a motorcycle but she has a scooter.,Harper wants to have a scooter but she has a motorcycle.,Harper has a motorcycle but she wants to have a scooter.,Harper has a scooter but she wants to have a motorcycle.,Harper managed to rent a motorcycle but she failed to rent a scooter.,Harper managed to rent a scooter but she failed to rent a motorcycle.,Harper failed to rent a motorcycle but she managed to rent a scooter.,Harper failed to rent a scooter but she managed to rent a motorcycle.,I know that Harper has a motorcycle but I doubt that she has a scooter.,I know that Harper has a scooter but I doubt that she has a motorcycle.,I doubt that Harper has a motorcycle but I know that she has a scooter.,I doubt that Harper has a scooter but I know that she has a motorcycle.,Her motorcycle is red.,Her scooter is red.,The motorcycle that she liked would have been too expensive.,The scooter that she liked would have been too expensive.
19_motorcycle_skateboard,Evelyn doesn't have a motorcycle but she has a skateboard.,Evelyn doesn't have a skateboard but she has a motorcycle.,Evelyn has a motorcycle but she doesn't have a skateboard.,Evelyn has a skateboard but she doesn't have a motorcycle.,Evelyn wants to have a motorcycle but she has a skateboard.,Evelyn wants to have a skateboard but she has a motorcycle.,Evelyn has a motorcycle but she wants to have a skateboard.,Evelyn has a skateboard but she wants to have a motorcycle.,Evelyn managed to rent a motorcycle but she failed to rent a skateboard.,Evelyn managed to rent a skateboard but she failed to rent a motorcycle.,Evelyn failed to rent a motorcycle but she managed to rent a skateboard.,Evelyn failed to rent a skateboard but she managed to rent a motorcycle.,I know that Evelyn has a motorcycle but I doubt that she has a skateboard.,I know that Evelyn has a skateboard but I doubt that she has a motorcycle.,I doubt that Evelyn has a motorcycle but I know that she has a skateboard.,I doubt that Evelyn has a skateboard but I know that she has a motorcycle.,Her motorcycle is red.,Her skateboard is red.,The motorcycle that she liked would have been too expensive.,The skateboard that she liked would have been too expensive.
20_scooter_skateboard,Abigail doesn't have a scooter but she has a skateboard.,Abigail doesn't have a skateboard but she has a scooter.,Abigail has a scooter but she doesn't have a skateboard.,Abigail has a skateboard but she doesn't have a scooter.,Abigail wants to have a scooter but she has a skateboard.,Abigail wants to have a skateboard but she has a scooter.,Abigail has a scooter but she wants to have a skateboard.,Abigail has a skateboard but she wants to have a scooter.,Abigail managed to rent a scooter but she failed to rent a skateboard.,Abigail managed to rent a skateboard but she failed to rent a scooter.,Abigail failed to rent a scooter but she managed to rent a skateboard.,Abigail failed to rent a skateboard but she managed to rent a scooter.,I know that Abigail has a scooter but I doubt that she has a skateboard.,I know that Abigail has a skateboard but I doubt that she has a scooter.,I doubt that Abigail has a scooter but I know that she has a skateboard.,I doubt that Abigail has a skateboard but I know that she has a scooter.,Her scooter is red.,Her skateboard is red.,The scooter that she liked would have been too expensive.,The skateboard that she liked would have been too expensive.
21_bear_monkey,Emily didn't see a bear at the zoo but she saw a monkey.,Emily didn't see a monkey at the zoo but she saw a bear.,Emily saw a bear at the zoo but she didn't see a monkey.,Emily saw a monkey at the zoo but she didn't see a bear.,Emily wanted to see a bear at the zoo but she saw a monkey.,Emily wanted to see a monkey at the zoo but she saw a bear.,Emily saw a bear at the zoo but she wanted to see a monkey.,Emily saw a monkey at the zoo but she wanted to see a bear.,Emily managed to see a bear at the zoo but she failed to see a monkey.,Emily managed to see a monkey at the zoo but she failed to see a bear.,Emily failed to see a bear at the zoo but she managed to see a monkey.,Emily failed to see a monkey at the zoo but she managed to see a bear.,I know that Emily saw a bear at the zoo but I doubt that she saw a monkey.,I know that Emily saw a monkey at the zoo but I doubt that she saw a bear.,I doubt that Emily saw a bear at the zoo but I know that she saw a monkey.,I doubt that Emily saw a monkey at the zoo but I know that she saw a bear.,The bear was much taller than she expected.,The monkey was much taller than she expected.,The bear that was supposed to be in the zoo had been on loan to another zoo.,The monkey that was supposed to be in the zoo had been on loan to another zoo.
22_bear_giraffe,Charlotte didn't see a bear at the zoo but she saw a giraffe.,Charlotte didn't see a giraffe at the zoo but she saw a bear.,Charlotte saw a bear at the zoo but she didn't see a giraffe.,Charlotte saw a giraffe at the zoo but she didn't see a bear.,Charlotte wanted to see a bear at the zoo but she saw a giraffe.,Charlotte wanted to see a giraffe at the zoo but she saw a bear.,Charlotte saw a bear at the zoo but she wanted to see a giraffe.,Charlotte saw a giraffe at the zoo but she wanted to see a bear.,Charlotte managed to see a bear at the zoo but she failed to see a giraffe.,Charlotte managed to see a giraffe at the zoo but she failed to see a bear.,Charlotte failed to see a bear at the zoo but she managed to see a giraffe.,Charlotte failed to see a giraffe at the zoo but she managed to see a bear.,I know that Charlotte saw a bear at the zoo but I doubt that she saw a giraffe.,I know that Charlotte saw a giraffe at the zoo but I doubt that she saw a bear.,I doubt that Charlotte saw a bear at the zoo but I know that she saw a giraffe.,I doubt that Charlotte saw a giraffe at the zoo but I know that she saw a bear.,The bear was much taller than she expected.,The giraffe was much taller than she expected.,The bear that was supposed to be in the zoo had been on loan to another zoo.,The giraffe that was supposed to be in the zoo had been on loan to another zoo.
23_bear_zebra,Grace didn't see a bear at the zoo but she saw a zebra.,Grace didn't see a zebra at the zoo but she saw a bear.,Grace saw a bear at the zoo but she didn't see a zebra.,Grace saw a zebra at the zoo but she didn't see a bear.,Grace wanted to see a bear at the zoo but she saw a zebra.,Grace wanted to see a zebra at the zoo but she saw a bear.,Grace saw a bear at the zoo but she wanted to see a zebra.,Grace saw a zebra at the zoo but she wanted to see a bear.,Grace managed to see a bear at the zoo but she failed to see a zebra.,Grace managed to see a zebra at the zoo but she failed to see a bear.,Grace failed to see a bear at the zoo but she managed to see a zebra.,Grace failed to see a zebra at the zoo but she managed to see a bear.,I know that Grace saw a bear at the zoo but I doubt that she saw a zebra.,I know that Grace saw a zebra at the zoo but I doubt that she saw a bear.,I doubt that Grace saw a bear at the zoo but I know that she saw a zebra.,I doubt that Grace saw a zebra at the zoo but I know that she saw a bear.,The bear was much taller than she expected.,The zebra was much taller than she expected.,The bear that was supposed to be in the zoo had been on loan to another zoo.,The zebra that was supposed to be in the zoo had been on loan to another zoo.
24_bear_kangaroo,Lily didn't see a bear at the zoo but she saw a kangaroo.,Lily didn't see a kangaroo at the zoo but she saw a bear.,Lily saw a bear at the zoo but she didn't see a kangaroo.,Lily saw a kangaroo at the zoo but she didn't see a bear.,Lily wanted to see a bear at the zoo but she saw a kangaroo.,Lily wanted to see a kangaroo at the zoo but she saw a bear.,Lily saw a bear at the zoo but she wanted to see a kangaroo.,Lily saw a kangaroo at the zoo but she wanted to see a bear.,Lily managed to see a bear at the zoo but she failed to see a kangaroo.,Lily managed to see a kangaroo at the zoo but she failed to see a bear.,Lily failed to see a bear at the zoo but she managed to see a kangaroo.,Lily failed to see a kangaroo at the zoo but she managed to see a bear.,I know that Lily saw a bear at the zoo but I doubt that she saw a kangaroo.,I know that Lily saw a kangaroo at the zoo but I doubt that she saw a bear.,I doubt that Lily saw a bear at the zoo but I know that she saw a kangaroo.,I doubt that Lily saw a kangaroo at the zoo but I know that she saw a bear.,The bear was much taller than she expected.,The kangaroo was much taller than she expected.,The bear that was supposed to be in the zoo had been on loan to another zoo.,The kangaroo that was supposed to be in the zoo had been on loan to another zoo.
25_monkey_giraffe,Aria didn't see a monkey at the zoo but she saw a giraffe.,Aria didn't see a giraffe at the zoo but she saw a monkey.,Aria saw a monkey at the zoo but she didn't see a giraffe.,Aria saw a giraffe at the zoo but she didn't see a monkey.,Aria wanted to see a monkey at the zoo but she saw a giraffe.,Aria wanted to see a giraffe at the zoo but she saw a monkey.,Aria saw a monkey at the zoo but she wanted to see a giraffe.,Aria saw a giraffe at the zoo but she wanted to see a monkey.,Aria managed to see a monkey at the zoo but she failed to see a giraffe.,Aria managed to see a giraffe at the zoo but she failed to see a monkey.,Aria failed to see a monkey at the zoo but she managed to see a giraffe.,Aria failed to see a giraffe at the zoo but she managed to see a monkey.,I know that Aria saw a monkey at the zoo but I doubt that she saw a giraffe.,I know that Aria saw a giraffe at the zoo but I doubt that she saw a monkey.,I doubt that Aria saw a monkey at the zoo but I know that she saw a giraffe.,I doubt that Aria saw a giraffe at the zoo but I know that she saw a monkey.,The monkey was much taller than she expected.,The giraffe was much taller than she expected.,The monkey that was supposed to be in the zoo had been on loan to another zoo.,The giraffe that was supposed to be in the zoo had been on loan to another zoo.
26_monkey_zebra,Scarlett didn't see a monkey at the zoo but she saw a zebra.,Scarlett didn't see a zebra at the zoo but she saw a monkey.,Scarlett saw a monkey at the zoo but she didn't see a zebra.,Scarlett saw a zebra at the zoo but she didn't see a monkey.,Scarlett wanted to see a monkey at the zoo but she saw a zebra.,Scarlett wanted to see a zebra at the zoo but she saw a monkey.,Scarlett saw a monkey at the zoo but she wanted to see a zebra.,Scarlett saw a zebra at the zoo but she wanted to see a monkey.,Scarlett managed to see a monkey at the zoo but she failed to see a zebra.,Scarlett managed to see a zebra at the zoo but she failed to see a monkey.,Scarlett failed to see a monkey at the zoo but she managed to see a zebra.,Scarlett failed to see a zebra at the zoo but she managed to see a monkey.,I know that Scarlett saw a monkey at the zoo but I doubt that she saw a zebra.,I know that Scarlett saw a zebra at the zoo but I doubt that she saw a monkey.,I doubt that Scarlett saw a monkey at the zoo but I know that she saw a zebra.,I doubt that Scarlett saw a zebra at the zoo but I know that she saw a monkey.,The monkey was much taller than she expected.,The zebra was much taller than she expected.,The monkey that was supposed to be in the zoo had been on loan to another zoo.,The zebra that was supposed to be in the zoo had been on loan to another zoo.
27_monkey_kangaroo,Chloe didn't see a monkey at the zoo but she saw a kangaroo.,Chloe didn't see a kangaroo at the zoo but she saw a monkey.,Chloe saw a monkey at the zoo but she didn't see a kangaroo.,Chloe saw a kangaroo at the zoo but she didn't see a monkey.,Chloe wanted to see a monkey at the zoo but she saw a kangaroo.,Chloe wanted to see a kangaroo at the zoo but she saw a monkey.,Chloe saw a monkey at the zoo but she wanted to see a kangaroo.,Chloe saw a kangaroo at the zoo but she wanted to see a monkey.,Chloe managed to see a monkey at the zoo but she failed to see a kangaroo.,Chloe managed to see a kangaroo at the zoo but she failed to see a monkey.,Chloe failed to see a monkey at the zoo but she managed to see a kangaroo.,Chloe failed to see a kangaroo at the zoo but she managed to see a monkey.,I know that Chloe saw a monkey at the zoo but I doubt that she saw a kangaroo.,I know that Chloe saw a kangaroo at the zoo but I doubt that she saw a monkey.,I doubt that Chloe saw a monkey at the zoo but I know that she saw a kangaroo.,I doubt that Chloe saw a kangaroo at the zoo but I know that she saw a monkey.,The monkey was much taller than she expected.,The kangaroo was much taller than she expected.,The monkey that was supposed to be in the zoo had been on loan to another zoo.,The kangaroo that was supposed to be in the zoo had been on loan to another zoo.
