id,sentence,type,pronoun,logprobs,continuation_log_prob,id_num,tokens
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,"[-10.8512601852417, -0.5697400569915771, -9.276388168334961, -1.0378499031066895, -4.6062774658203125, -2.3658952713012695, -3.422544479370117, -9.161626815795898, -3.265329599380493, -4.2637224197387695, -1.5860321521759033, -0.022152243182063103, -1.057411551475525]",-22.77881926111877,1,▁John|▁managed|▁to|▁adopt|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_managed,John managed to adopt a dog. It's not a big deal.,managed,subj,"[-10.8512601852417, -0.5697400569915771, -9.276388168334961, -1.0378499031066895, -4.6062774658203125, -2.3658952713012695, -3.422544479370117, -2.6532931327819824, -0.010467390529811382, -2.7727103233337402, -1.6747708320617676, -2.6804542541503906, -1.1752997636795044, -1.8079345226287842]",-16.197474698536098,1,▁John|▁managed|▁to|▁adopt|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,"[-10.461341857910156, -1.3855398893356323, -8.073953628540039, -1.6283515691757202, -4.5769853591918945, -1.960449457168579, -3.8898439407348633, -8.847667694091797, -3.8226494789123535, -3.6216869354248047, -1.5328259468078613, -0.03229891508817673, -1.215374231338501]",-22.962347142398357,1,▁John|▁failed|▁to|▁adopt|▁a|▁dog|.|▁It|▁follows|▁him|▁everywhere|▁he|▁goes|.
1_dog_failed,John failed to adopt a dog. It's not a big deal.,failed,subj,"[-10.461341857910156, -1.3855398893356323, -8.073953628540039, -1.6283515691757202, -4.5769853591918945, -1.960449457168579, -3.8898439407348633, -2.7010865211486816, -0.011265951208770275, -1.97134530544281, -3.042745590209961, -2.6764328479766846, -0.3195723593235016, -1.292502522468567]",-15.90479503851384,1,▁John|▁failed|▁to|▁adopt|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,"[-4.836465835571289, -2.599794864654541, -7.117278099060059, -2.808243989944458, -4.195749282836914, -3.352114200592041, -1.3067184686660767, -7.277501106262207, -0.30052176117897034, -0.838559091091156, -0.004725835286080837, -0.0012841321295127273, -1.2525267601013184, -0.768275260925293]",-19.29797589906957,2,▁Lucy|▁has|▁a|▁car|▁and|▁it|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_affirmative,Lucy has a car and it's not a big deal.,affirmative,subj,"[-4.836465835571289, -2.599794864654541, -7.117278099060059, -2.808243989944458, -4.195749282836914, -1.3411356210708618, -0.007418110501021147, -2.6388258934020996, -1.8358756303787231, -4.170639991760254, -0.8339223861694336, -1.2289000749588013]",-16.25246699107811,2,▁Lucy|▁has|▁a|▁car|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,"[-7.608890056610107, -0.60027015209198, -0.0010550415609031916, -2.333847999572754, -1.434896469116211, -5.060962677001953, -1.865222692489624, -3.7890074253082275, -4.87867546081543, -3.616377592086792, -8.672486305236816, -0.25625696778297424, -1.8798538446426392, -0.01828855648636818, -0.0016467118402943015, -1.1859222650527954, -0.9569560885429382]",-25.255471217795275,2,▁Lucy|▁doesn|'|t|▁have|▁a|▁car|▁and|▁it|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_negated,Lucy doesn't have a car and it's not a big deal.,negated,subj,"[-7.608890056610107, -0.60027015209198, -0.0010550415609031916, -2.333847999572754, -1.434896469116211, -5.060962677001953, -1.865222692489624, -3.7890074253082275, -0.6199590563774109, -0.019667262211441994, -2.4490115642547607, -3.062192678451538, -3.4874582290649414, -1.9752744436264038, -1.1498411893844604]",-16.552411848679185,2,▁Lucy|▁doesn|'|t|▁have|▁a|▁car|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,"[-4.491087913513184, -1.9560986757278442, -9.846368789672852, -2.5050048828125, -1.985539197921753, -6.738487243652344, -2.3437652587890625, -2.9284520149230957, -4.015286445617676, -1.4429562091827393, -8.220670700073242, -0.24477218091487885, -0.7444844245910645, -0.004979708231985569, -0.0020341435447335243, -1.5743863582611084, -1.3684526681900024]",-20.546474853530526,2,▁I|▁know|▁that|▁Lucy|▁has|▁a|▁car|.|▁It|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_know,I know that Lucy has a car. It's not a big deal.,know,subj,"[-4.491087913513184, -1.9560986757278442, -9.846368789672852, -2.5050048828125, -1.985539197921753, -6.738487243652344, -2.3437652587890625, -2.9284520149230957, -1.0854731798171997, -0.01934845745563507, -2.7281153202056885, -1.6931462287902832, -2.412443161010742, -1.0316016674041748, -1.4141528606414795]",-13.312732890248299,2,▁I|▁know|▁that|▁Lucy|▁has|▁a|▁car|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,"[-6.9566755294799805, -1.6479328870773315, -9.955818176269531, -3.176224946975708, -2.576663017272949, -5.965155601501465, -1.3238712549209595, -3.361006498336792, -4.975001811981201, -3.1089134216308594, -8.347838401794434, -0.2049456536769867, -1.2039531469345093, -0.0068883332423865795, -0.001474127871915698, -1.464539885520935, -1.8485819101333618]",-24.52314319112338,2,▁I|▁doubt|▁that|▁Lucy|▁has|▁a|▁car|.|▁It|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_doubt,I doubt that Lucy has a car. It's not a big deal.,doubt,subj,"[-6.9566755294799805, -1.6479328870773315, -9.955818176269531, -3.176224946975708, -2.576663017272949, -5.965155601501465, -1.3238712549209595, -3.361006498336792, -1.2803128957748413, -0.02853119559586048, -2.035942554473877, -2.32651686668396, -2.7597436904907227, -1.0664594173431396, -1.4748800992965698]",-14.333393217995763,2,▁I|▁doubt|▁that|▁Lucy|▁has|▁a|▁car|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,"[-7.320618152618408, -0.44212040305137634, -3.5301709175109863, -0.9772874116897583, -6.72998046875, -2.896223306655884, -4.912222862243652, -3.7443745136260986, -3.430191993713379, -8.350006103515625, -0.36855819821357727, -0.5267065167427063, -0.003743665525689721, -0.0017727388767525554, -1.6591664552688599, -0.8291378021240234]",-23.825880849850364,2,▁Lucy|▁wants|▁to|▁have|▁a|▁car|▁and|▁it|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_modal,Lucy wants to have a car and it's not a big deal.,modal,subj,"[-7.320618152618408, -0.44212040305137634, -3.5301709175109863, -0.9772874116897583, -6.72998046875, -2.896223306655884, -4.912222862243652, -1.8223364353179932, -0.016195053234696388, -2.4417636394500732, -2.6516809463500977, -3.11531400680542, -0.7358479499816895, -1.2419874668121338]",-16.937348360195756,2,▁Lucy|▁wants|▁to|▁have|▁a|▁car|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,"[-10.002676010131836, -0.20269891619682312, -8.650192260742188, -0.7831646203994751, -2.8450369834899902, -2.3818788528442383, -3.1694939136505127, -5.718018531799316, -1.6556140184402466, -6.927238464355469, -0.16119150817394257, -1.485944151878357, -0.004472016356885433, -0.003646155819296837, -2.115009307861328, -1.7064751386642456]",-22.9471032069996,2,▁Lucy|▁managed|▁to|▁rent|▁a|▁car|.|▁It|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_managed,Lucy managed to rent a car. It's not a big deal.,managed,subj,"[-10.002676010131836, -0.20269891619682312, -8.650192260742188, -0.7831646203994751, -2.8450369834899902, -2.3818788528442383, -3.1694939136505127, -3.467998504638672, -0.04548107832670212, -2.415032148361206, -1.7673406600952148, -2.273533344268799, -1.672349214553833, -2.1105093955993652]",-16.921738259494305,2,▁Lucy|▁managed|▁to|▁rent|▁a|▁car|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
2_car_failed,Lucy failed to rent a car. It has a self-driving mode.,failed,it,"[-9.530632019042969, -0.4100491404533386, -9.856757164001465, -1.5572283267974854, -2.014507293701172, -2.1562066078186035, -3.7784318923950195, -5.355958461761475, -2.9090166091918945, -7.619821548461914, -0.17541395127773285, -2.0816264152526855, -0.006785919889807701, -0.008934520184993744, -1.685626745223999, -2.077273368835449]",-25.69888943247497,2,▁Lucy|▁failed|▁to|▁rent|▁a|▁car|.|▁It|▁has|▁a|▁self|-|d|riv|ing|▁mode|.
2_car_failed,Lucy failed to rent a car. It's not a big deal.,failed,subj,"[-9.530632019042969, -0.4100491404533386, -9.856757164001465, -1.5572283267974854, -2.014507293701172, -2.1562066078186035, -3.7784318923950195, -3.116682529449463, -0.0417398102581501, -2.106307029724121, -2.4995930194854736, -2.005159616470337, -0.3931155502796173, -1.6298623085021973]",-15.570891756564379,2,▁Lucy|▁failed|▁to|▁rent|▁a|▁car|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
3_bear_affirmative,Carol saw a bear at the zoo and it was taller than she expected.,affirmative,it,"[-9.98203182220459, -2.7899036407470703, -7.313488960266113, -4.176074028015137, -1.1580325365066528, -3.227135419845581, -2.191771984100342, -3.192688226699829, -0.871596097946167, -6.816374778747559, -0.4847080111503601, -0.14864973723888397, -1.5369291305541992, -4.5005598068237305, -0.5236812233924866]",-18.075187012553215,3,▁Carol|▁saw|▁a|▁bear|▁at|▁the|▁zoo|▁and|▁it|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_affirmative,Carol saw a bear at the zoo and it's not a big deal.,affirmative,subj,"[-9.98203182220459, -2.7899036407470703, -7.313488960266113, -4.176074028015137, -1.1580325365066528, -3.227135419845581, -2.191771984100342, -3.192688226699829, -4.224529266357422, -0.012045146897435188, -3.1957664489746094, -2.1365468502044678, -3.2711479663848877, -0.252474844455719, -0.853831946849823]",-17.139030696824193,3,▁Carol|▁saw|▁a|▁bear|▁at|▁the|▁zoo|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
3_bear_negated,Carol didn't see a bear at the zoo and it was taller than she expected.,negated,it,"[-8.946808815002441, -0.5608915090560913, -5.090107151772827e-05, -4.146235466003418, -3.134087085723877, -7.420651435852051, -3.4878599643707275, -1.6328976154327393, -3.9149842262268066, -3.748973846435547, -3.6094727516174316, -1.3177695274353027, -6.755425930023193, -2.1498236656188965, -0.21995922923088074, -2.2589030265808105, -2.6141819953918457, -0.6108243465423584]",-19.53636047244072,3,▁Carol|▁didn|'|t|▁see|▁a|▁bear|▁at|▁the|▁zoo|▁and|▁it|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_negated,Carol didn't see a bear at the zoo and it's not a big deal.,negated,subj,"[-8.946808815002441, -0.5608915090560913, -5.090107151772827e-05, -4.146235466003418, -3.134087085723877, -7.420651435852051, -3.4878599643707275, -1.6328976154327393, -3.9149842262268066, -3.748973846435547, -3.6094727516174316, -1.8536734580993652, -0.010474586859345436, -1.7038830518722534, -2.22723126411438, -3.5507020950317383, -0.21271491050720215, -0.7599779963493347]",-13.92813011445105,3,▁Carol|▁didn|'|t|▁see|▁a|▁bear|▁at|▁the|▁zoo|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
3_bear_know,I know that Carol saw a bear at the zoo. It was taller than she expected.,know,it,"[-4.491087913513184, -1.9560986757278442, -10.597142219543457, -7.72092342376709, -2.9920570850372314, -7.079279899597168, -3.251805067062378, -1.0841476917266846, -4.199272155761719, -1.8283964395523071, -3.0718560218811035, -1.4457650184631348, -7.193000793457031, -0.4688299298286438, -0.0763503909111023, -1.5678657293319702, -4.959226608276367, -0.7265000343322754]",-19.50939452648163,3,▁I|▁know|▁that|▁Carol|▁saw|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_know,I know that Carol saw a bear at the zoo. It's not a big deal.,know,subj,"[-4.491087913513184, -1.9560986757278442, -10.597142219543457, -7.72092342376709, -2.9920570850372314, -7.079279899597168, -3.251805067062378, -1.0841476917266846, -4.199272155761719, -1.8283964395523071, -3.0718560218811035, -1.8416495323181152, -0.008086323738098145, -2.4491477012634277, -1.9492472410202026, -2.8180887699127197, -0.2626248002052307, -0.9955551028251648]",-13.396255493164062,3,▁I|▁know|▁that|▁Carol|▁saw|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It was taller than she expected.,doubt,it,"[-6.9566755294799805, -1.6479328870773315, -10.454535484313965, -7.715996742248535, -3.3753230571746826, -7.687442779541016, -3.309866428375244, -1.7938823699951172, -3.729592800140381, -0.9720739722251892, -3.089287757873535, -1.6108498573303223, -8.502606391906738, -2.349055767059326, -0.43328168988227844, -1.8289753198623657, -4.713367938995361, -1.217411756515503]",-23.74483647942543,3,▁I|▁doubt|▁that|▁Carol|▁saw|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It's not a big deal.,doubt,subj,"[-6.9566755294799805, -1.6479328870773315, -10.454535484313965, -7.715996742248535, -3.3753230571746826, -7.687442779541016, -3.309866428375244, -1.7938823699951172, -3.729592800140381, -0.9720739722251892, -3.089287757873535, -1.6807904243469238, -0.013194509781897068, -2.508695125579834, -2.1791532039642334, -3.6488757133483887, -0.9809289574623108, -1.2495465278625488]",-15.350472220219672,3,▁I|▁doubt|▁that|▁Carol|▁saw|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
3_bear_modal,Carol wants to see a bear at the zoo and it was taller than she expected.,modal,it,"[-8.76812744140625, -0.5227389931678772, -3.7724645137786865, -2.9021592140197754, -7.48985481262207, -4.869250297546387, -1.2173292636871338, -0.8566694855690002, -2.469139814376831, -4.127978324890137, -4.116696357727051, -7.324319839477539, -3.326730966567993, -0.17657741904258728, -1.5018855333328247, -2.539963483810425, -0.4640209376811981]",-23.578172862529755,3,▁Carol|▁wants|▁to|▁see|▁a|▁bear|▁at|▁the|▁zoo|▁and|▁it|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_modal,Carol wants to see a bear at the zoo and it's not a big deal.,modal,subj,"[-8.76812744140625, -0.5227389931678772, -3.7724645137786865, -2.9021592140197754, -7.48985481262207, -4.869250297546387, -1.2173292636871338, -0.8566694855690002, -2.469139814376831, -4.127978324890137, -1.6762447357177734, -0.0072852191515266895, -2.8466272354125977, -2.914654016494751, -3.845750331878662, -0.30832338333129883, -1.2158676385879517]",-16.942730885464698,3,▁Carol|▁wants|▁to|▁see|▁a|▁bear|▁at|▁the|▁zoo|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
3_bear_managed,Carol managed to see a bear at the zoo. It was taller than she expected.,managed,it,"[-12.469927787780762, -0.8167595267295837, -5.293910980224609, -2.725438117980957, -7.030766487121582, -3.6376659870147705, -1.4263924360275269, -2.50182843208313, -1.4201490879058838, -2.9465434551239014, -0.5154301524162292, -6.726107597351074, -1.5536669492721558, -0.11504022032022476, -1.1205722093582153, -3.921818971633911, -1.2388769388198853]",-18.138056494295597,3,▁Carol|▁managed|▁to|▁see|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_managed,Carol managed to see a bear at the zoo. It's not a big deal.,managed,subj,"[-12.469927787780762, -0.8167595267295837, -5.293910980224609, -2.725438117980957, -7.030766487121582, -3.6376659870147705, -1.4263924360275269, -2.50182843208313, -1.4201490879058838, -2.9465434551239014, -3.1534392833709717, -0.019605660811066628, -2.322768449783325, -2.215242624282837, -2.644501209259033, -0.6366304159164429, -1.9142194986343384]",-15.852950597181916,3,▁Carol|▁managed|▁to|▁see|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
3_bear_failed,Carol failed to see a bear at the zoo. It was taller than she expected.,failed,it,"[-12.850240707397461, -0.2929644286632538, -4.230522155761719, -3.339102268218994, -7.440255165100098, -3.652395248413086, -1.2967864274978638, -4.096081733703613, -1.4157058000564575, -3.5109543800354004, -1.0355490446090698, -6.874736309051514, -2.255337715148926, -0.2777579426765442, -1.5122023820877075, -2.5008435249328613, -0.9079045057296753]",-18.875285804271698,3,▁Carol|▁failed|▁to|▁see|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|▁was|▁t|aller|▁than|▁she|▁expected|.
3_bear_failed,Carol failed to see a bear at the zoo. It's not a big deal.,failed,subj,"[-12.850240707397461, -0.2929644286632538, -4.230522155761719, -3.339102268218994, -7.440255165100098, -3.652395248413086, -1.2967864274978638, -4.096081733703613, -1.4157058000564575, -3.5109543800354004, -2.500239372253418, -0.010628404095768929, -2.334043025970459, -2.573309898376465, -2.4785971641540527, -0.2467014342546463, -1.3173617124557495]",-14.97183539159596,3,▁Carol|▁failed|▁to|▁see|▁a|▁bear|▁at|▁the|▁zoo|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
4_book_affirmative,Susan published a book and it is a real page-turner.,affirmative,it,"[-10.993782043457031, -1.884414553642273, -1.6952799558639526, -4.357147216796875, -3.592301368713379, -2.3725085258483887, -2.5170419216156006, -4.166166305541992, -1.264164686203003, -1.0590559244155884, -0.008373036980628967, -0.007675086613744497, -0.5700427293777466]",-15.557329585310072,4,▁Susan|▁published|▁a|▁book|▁and|▁it|▁is|▁a|▁real|▁page|-|turn|er|.
4_book_affirmative,Susan published a book and it's not a big deal.,affirmative,subj,"[-10.993782043457031, -1.884414553642273, -1.6952799558639526, -4.357147216796875, -3.592301368713379, -2.723808765411377, -0.005256284959614277, -3.701195001602173, -2.4199788570404053, -4.591470241546631, -0.9440844655036926, -0.9517591595649719]",-18.929854144342244,4,▁Susan|▁published|▁a|▁book|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
4_book_negated,Susan didn't publish a book and it is a real page-turner.,negated,it,"[-8.393535614013672, -0.6761085391044617, -0.0007335832342505455, -9.64680004119873, -2.296011447906494, -1.6945006847381592, -4.637984275817871, -3.918994903564453, -2.8751072883605957, -2.6802849769592285, -4.236534118652344, -5.375486373901367, -1.18437659740448, -0.008318537846207619, -0.015103504061698914, -0.6923765540122986]",-20.986582854762673,4,▁Susan|▁didn|'|t|▁publish|▁a|▁book|▁and|▁it|▁is|▁a|▁real|▁page|-|turn|er|.
4_book_negated,Susan didn't publish a book and it's not a big deal.,negated,subj,"[-8.393535614013672, -0.6761085391044617, -0.0007335832342505455, -9.64680004119873, -2.296011447906494, -1.6945006847381592, -4.637984275817871, -3.918994903564453, -1.480197548866272, -0.009220518171787262, -1.671386480331421, -2.7694923877716064, -3.592388868331909, -0.7934755086898804, -0.8466842770576477]",-15.081840492784977,4,▁Susan|▁didn|'|t|▁publish|▁a|▁book|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
4_book_know,I know that Susan published a book. It is a real page-turner.,know,it,"[-4.491087913513184, -1.9560986757278442, -10.921737670898438, -12.62725830078125, -1.2676384449005127, -1.2336506843566895, -3.765507698059082, -2.8349556922912598, -1.9857310056686401, -2.2403059005737305, -5.31264591217041, -2.53184175491333, -0.9434940218925476, -0.006824399810284376, -0.011086412705481052, -1.0160174369812012]",-16.882902537006885,4,▁I|▁know|▁that|▁Susan|▁published|▁a|▁book|.|▁It|▁is|▁a|▁real|▁page|-|turn|er|.
4_book_know,I know that Susan published a book. It's not a big deal.,know,subj,"[-4.491087913513184, -1.9560986757278442, -10.921737670898438, -12.62725830078125, -1.2676384449005127, -1.2336506843566895, -3.765507698059082, -2.8349556922912598, -1.6710108518600464, -0.007705370429903269, -2.8112125396728516, -2.4239413738250732, -3.3289358615875244, -0.7799549698829651, -1.2703948020935059]",-15.12811146164313,4,▁I|▁know|▁that|▁Susan|▁published|▁a|▁book|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
4_book_doubt,I doubt that Susan published a book. It is a real page-turner.,doubt,it,"[-6.9566755294799805, -1.6479328870773315, -10.908771514892578, -13.665316581726074, -2.4514822959899902, -1.6861472129821777, -2.507070541381836, -2.9119515419006348, -1.8513495922088623, -2.814415693283081, -5.210762023925781, -5.403843879699707, -1.2938613891601562, -0.011551283299922943, -0.012805611826479435, -1.3741326332092285]",-20.884673648513854,4,▁I|▁doubt|▁that|▁Susan|▁published|▁a|▁book|.|▁It|▁is|▁a|▁real|▁page|-|turn|er|.
4_book_doubt,I doubt that Susan published a book. It's not a big deal.,doubt,subj,"[-6.9566755294799805, -1.6479328870773315, -10.908771514892578, -13.665316581726074, -2.4514822959899902, -1.6861472129821777, -2.507070541381836, -2.9119515419006348, -1.9083621501922607, -0.010961554944515228, -2.2031235694885254, -2.4423694610595703, -3.4855546951293945, -0.7889348864555359, -1.5419749021530151]",-15.293232761323452,4,▁I|▁doubt|▁that|▁Susan|▁published|▁a|▁book|.|▁It|'|s|▁not|▁a|▁big|▁deal|.
4_book_modal,Susan wants to publish a book and it is a real page-turner.,modal,it,"[-8.31566047668457, -0.36503076553344727, -7.692122459411621, -1.3878034353256226, -0.9350513219833374, -2.8614397048950195, -4.669951915740967, -1.7941848039627075, -2.530853033065796, -4.842035293579102, -3.455536365509033, -0.9527589082717896, -0.0072633251547813416, -0.009608096443116665, -0.6398303508758545]",-18.902022092603147,4,▁Susan|▁wants|▁to|▁publish|▁a|▁book|▁and|▁it|▁is|▁a|▁real|▁page|-|turn|er|.
4_book_modal,Susan wants to publish a book and it's not a big deal.,modal,subj,"[-8.31566047668457, -0.36503076553344727, -7.692122459411621, -1.3878034353256226, -0.9350513219833374, -2.8614397048950195, -4.669951915740967, -2.0661821365356445, -0.022233974188566208, -2.7819697856903076, -2.6582205295562744, -4.357165336608887, -0.6072060465812683, -1.1581367254257202]",-18.321066450327635,4,▁Susan|▁wants|▁to|▁publish|▁a|▁book|▁and|▁it|'|s|▁not|▁a|▁big|▁deal|.
4_book_managed,Susan managed to write a book. It is a real page-turner.,managed,it,"[-10.724712371826172, -0.30093228816986084, -5.579166889190674, -1.4537200927734375, -2.3877599239349365, -2.792454719543457, -2.73325514793396, -2.0595552921295166, -1.6374396085739136, -4.8471832275390625, -1.3201391696929932, -0.897060751914978, -0.0063016521744430065, -0.010741039179265499, -1.3346878290176392]",-14.846363718155771,4,▁Susan|▁managed|▁to|▁write|▁a|▁book|.|▁It|▁is|▁a|▁real|▁page|-|turn|er|.
